GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
phones,edu.utn.phones.Controller,AdviceController,28,3,0,0,6,1,6,1,6,1
phones,edu.utn.phones.Service,ProvinceService,0,4,0,0,0,2,0,1,0,1
phones,edu.utn.phones.Service,CityService,0,4,0,0,0,2,0,1,0,1
phones,edu.utn.phones.Service,BillService,0,4,0,0,0,2,0,1,0,1
phones,edu.utn.phones.Service,RateService,5,4,0,0,1,2,1,1,1,1
phones,edu.utn.phones.Service,AbstractService,35,6,2,0,9,3,6,1,5,1
phones,edu.utn.phones.Service,UserService,10,4,0,0,1,2,1,1,1,1
phones,edu.utn.phones.Service,PhoneLineService,0,4,0,0,0,2,0,1,0,1
phones,edu.utn.phones.Service,CallService,28,4,6,0,6,2,4,1,1,1
phones,edu.utn.phones.Controller.Web,CallWebController,26,9,0,0,6,4,1,1,1,1
phones,edu.utn.phones.Controller.BackOffice,ProvinceBackofficeController,67,6,2,0,15,3,6,1,5,1
phones,edu.utn.phones.Controller.BackOffice,CityBackofficeController,60,6,0,0,13,3,5,1,5,1
phones,edu.utn.phones.Controller.BackOffice,PhoneLineBackofficeController,61,6,0,0,13,3,5,1,5,1
phones,edu.utn.phones.Controller.BackOffice,CallBackofficeController,60,6,0,0,13,3,5,1,5,1
phones,edu.utn.phones.Controller.BackOffice,RateBackofficeController,60,9,0,0,13,4,5,1,5,1
phones,edu.utn.phones.Controller.BackOffice,UserBackofficeController,60,6,0,0,13,3,5,1,5,1
phones,edu.utn.phones.Controller.BackOffice,BillBackofficeController,60,6,0,0,13,3,5,1,5,1
phones,edu.utn.phones.Controller.BackOffice,LoginController,40,9,0,0,9,4,3,1,3,1
